iter	Passed	Remaining
0	132	132062
1	132	66248
2	133	44299
3	133	33317
4	134	26739
5	134	22341
6	135	19198
7	135	16840
8	136	15005
9	136	13538
10	137	12338
11	137	11336
12	138	10490
13	138	9763
14	139	9133
15	139	8582
16	140	8095
17	140	7663
18	140	7275
19	141	6927
20	141	6611
21	142	6325
22	142	6064
23	143	5823
24	143	5602
25	144	5399
26	144	5210
27	145	5038
28	145	4875
29	146	4724
30	146	4582
31	147	4449
32	147	4325
33	148	4208
34	148	4096
35	149	3991
36	149	3891
37	150	3797
38	150	3708
39	150	3623
40	151	3541
41	151	3464
42	152	3391
43	152	3320
44	153	3253
45	153	3189
46	154	3127
47	154	3068
48	155	3011
49	155	2957
50	156	2904
51	156	2854
52	157	2806
53	157	2759
54	158	2714
55	158	2671
56	158	2629
57	159	2589
58	159	2550
59	160	2512
60	160	2475
61	161	2440
62	161	2406
63	162	2372
64	162	2340
65	163	2309
66	163	2279
67	163	2246
68	164	2217
69	164	2190
70	165	2163
71	165	2137
72	166	2111
73	166	2086
74	167	2062
75	167	2038
76	168	2015
77	168	1993
78	169	1971
79	169	1949
80	170	1929
81	170	1908
82	170	1888
83	171	1869
84	171	1848
85	172	1830
86	172	1810
87	173	1792
88	173	1775
89	173	1758
90	174	1742
91	174	1726
92	175	1713
93	176	1698
94	176	1683
95	177	1669
96	177	1656
97	178	1643
98	179	1630
99	179	1618
100	180	1605
101	180	1591
102	181	1578
103	181	1565
104	182	1552
105	182	1540
106	183	1528
107	183	1516
108	184	1504
109	184	1493
110	185	1481
111	185	1470
112	185	1459
113	186	1448
114	186	1438
115	187	1426
116	187	1416
117	188	1406
118	188	1396
119	189	1386
120	189	1376
121	190	1367
122	190	1356
123	190	1347
124	191	1338
125	191	1329
126	192	1320
127	192	1310
128	192	1302
129	193	1294
130	193	1286
131	194	1278
132	194	1270
133	195	1262
134	195	1254
135	196	1246
136	196	1239
137	197	1231
138	197	1223
139	198	1216
140	198	1209
141	199	1202
142	199	1195
143	199	1188
144	200	1181
145	200	1174
146	201	1168
147	201	1161
148	202	1155
149	202	1148
150	203	1142
151	203	1136
152	204	1130
153	204	1124
154	205	1118
155	205	1112
156	206	1106
157	206	1100
158	206	1094
159	207	1089
160	207	1083
161	208	1078
162	208	1072
163	209	1067
164	209	1062
165	210	1056
166	210	1051
167	211	1046
168	211	1041
169	212	1035
170	212	1030
171	213	1025
172	213	1021
173	214	1016
174	214	1011
175	214	1006
176	215	1001
177	215	997
178	216	992
179	216	987
180	217	982
181	217	977
182	218	973
183	218	969
184	219	965
185	219	960
186	220	956
187	220	952
188	220	948
189	221	943
190	221	939
191	222	935
192	222	931
193	223	927
194	223	923
195	224	919
196	224	915
197	225	911
198	225	908
199	226	904
200	226	900
201	226	896
202	227	892
203	227	889
204	228	885
205	228	882
206	229	878
207	229	875
208	230	871
209	230	868
210	231	864
211	231	861
212	232	858
213	232	854
214	233	851
215	233	848
216	234	844
217	234	841
218	235	838
219	235	834
220	235	831
221	236	828
222	236	825
223	237	822
224	237	819
225	238	816
226	238	813
227	239	810
228	239	807
229	240	804
230	240	801
231	241	798
232	241	795
233	242	792
234	242	789
235	242	786
236	243	783
237	243	780
238	244	778
239	244	775
240	245	772
241	245	769
242	246	767
243	246	764
244	247	761
245	247	759
246	248	756
247	248	753
248	249	751
249	249	749
250	250	746
251	250	744
252	251	741
253	251	739
254	252	737
255	252	734
256	253	732
257	253	730
258	254	727
259	254	725
260	255	723
261	255	720
262	256	718
263	256	716
264	257	714
265	258	712
266	258	709
267	259	707
268	259	705
269	260	703
270	260	701
271	261	699
272	261	697
273	262	695
274	262	692
275	263	690
276	263	688
277	264	686
278	264	684
279	265	681
280	265	679
281	266	677
282	266	675
283	267	673
284	267	671
285	267	668
286	268	666
287	268	664
288	269	662
289	269	660
290	270	658
291	270	656
292	271	654
293	271	652
294	272	650
295	272	648
296	273	646
297	273	644
298	274	642
299	274	640
300	275	638
301	275	637
302	276	635
303	276	633
304	277	631
305	277	629
306	277	627
307	278	625
308	278	623
309	279	621
310	279	619
311	280	618
312	280	616
313	281	614
314	281	612
315	282	610
316	282	608
317	283	606
318	283	605
319	283	603
320	284	601
321	284	599
322	285	598
323	285	596
324	286	594
325	286	593
326	287	591
327	287	589
328	288	587
329	288	586
330	289	584
331	289	582
332	290	581
333	290	579
334	291	577
335	291	576
336	291	574
337	292	572
338	292	571
339	293	569
340	293	567
341	294	566
342	294	564
343	295	563
344	295	561
345	296	559
346	296	558
347	297	556
348	297	555
349	298	553
350	298	551
351	298	550
352	299	548
353	299	547
354	300	545
355	300	544
356	301	542
357	301	541
358	302	539
359	302	538
360	303	536
361	303	535
362	304	533
363	304	532
364	305	530
365	305	529
366	306	527
367	306	526
368	307	525
369	307	523
370	307	522
371	308	520
372	308	519
373	309	517
374	309	516
375	310	514
376	310	513
377	311	512
378	311	510
379	312	509
380	312	507
381	313	506
382	313	505
383	314	503
384	314	502
385	314	501
386	315	499
387	315	498
388	316	496
389	316	495
390	317	494
391	317	492
392	318	491
393	318	490
394	319	489
395	319	487
396	320	486
397	320	485
398	321	484
399	321	482
400	322	481
401	322	480
402	323	478
403	323	477
404	324	476
405	324	474
406	325	473
407	325	472
408	326	471
409	326	469
410	327	468
411	327	467
412	327	466
413	328	464
414	328	463
415	329	462
416	329	461
417	330	459
418	330	458
419	331	457
420	331	456
421	332	455
422	332	454
423	333	452
424	333	451
425	334	450
426	334	449
427	335	448
428	335	446
429	336	445
430	336	444
431	337	443
432	337	441
433	337	440
434	338	439
435	338	438
436	339	437
437	339	436
438	340	434
439	340	433
440	341	432
441	341	431
442	342	430
443	342	429
444	343	427
445	343	426
446	344	425
447	344	424
448	345	423
449	345	422
450	346	421
451	346	420
452	347	419
453	347	417
454	347	416
455	348	415
456	348	414
457	349	413
458	349	412
459	350	411
460	350	410
461	351	408
462	351	407
463	352	406
464	352	405
465	353	404
466	353	403
467	354	402
468	354	401
469	354	400
470	355	399
471	355	398
472	356	397
473	356	395
474	357	394
475	357	393
476	358	392
477	358	391
478	359	390
479	359	389
480	360	388
481	360	387
482	361	386
483	361	385
484	362	384
485	362	383
486	363	382
487	363	381
488	364	380
489	364	379
490	364	378
491	365	377
492	365	376
493	366	375
494	366	374
495	367	373
496	367	372
497	368	371
498	368	370
499	369	369
500	369	368
501	370	367
502	370	366
503	371	365
504	371	364
505	371	363
506	372	362
507	372	361
508	373	360
509	373	359
510	374	358
511	374	357
512	375	356
513	375	355
514	376	354
515	376	353
516	377	352
517	377	351
518	378	350
519	378	349
520	379	348
521	379	347
522	380	346
523	380	345
524	380	344
525	381	343
526	381	342
527	382	341
528	382	340
529	383	339
530	383	338
531	384	338
532	384	337
533	385	336
534	385	335
535	386	334
536	386	333
537	387	332
538	387	331
539	388	330
540	388	329
541	389	328
542	389	327
543	390	326
544	390	326
545	391	325
546	391	324
547	391	323
548	392	322
549	392	321
550	393	320
551	393	319
552	394	318
553	394	317
554	395	316
555	395	316
556	396	315
557	396	314
558	397	313
